Cement,Blast_Furnace_Slag,Fly_Ash,Water,Superplasticizer,Coarse_Aggregate,Fine_Aggregate,Age,Concrete_compressive_strength
277.2 ,97.8 ,24.5 ,160.7 ,11.2 ,1061.7 ,782.5 ,56 ,66.82 
277.2 ,97.8 ,24.5 ,160.7 ,11.2 ,1061.7 ,782.5 ,100 ,66.95 
218.2 ,54.6 ,123.8 ,140.8 ,11.9 ,1075.7 ,792.7 ,3 ,27.42 
218.2 ,54.6 ,123.8 ,140.8 ,11.9 ,1075.7 ,792.7 ,14 ,35.96 
218.2 ,54.6 ,123.8 ,140.8 ,11.9 ,1075.7 ,792.7 ,28 ,55.51 
218.2 ,54.6 ,123.8 ,140.8 ,11.9 ,1075.7 ,792.7 ,56 ,61.99 
218.2 ,54.6 ,123.8 ,140.8 ,11.9 ,1075.7 ,792.7 ,100 ,63.53 
214.9 ,53.8 ,121.9 ,155.6 ,9.6 ,1014.3 ,780.6 ,3 ,18.02 
214.9 ,53.8 ,121.9 ,155.6 ,9.6 ,1014.3 ,780.6 ,14 ,38.60 
214.9 ,53.8 ,121.9 ,155.6 ,9.6 ,1014.3 ,780.6 ,28 ,52.20 
214.9 ,53.8 ,121.9 ,155.6 ,9.6 ,1014.3 ,780.6 ,56 ,53.96 
214.9 ,53.8 ,121.9 ,155.6 ,9.6 ,1014.3 ,780.6 ,100 ,56.63 
397.0 ,17.2 ,158.0 ,167.0 ,20.8 ,967.0 ,633.0 ,28 ,55.65 
333.0 ,17.5 ,163.0 ,167.0 ,17.9 ,996.0 ,652.0 ,28 ,47.28 
334.0 ,17.6 ,158.0 ,189.0 ,15.3 ,967.0 ,633.0 ,28 ,44.33 
145.0 ,116.0 ,119.0 ,184.0 ,5.7 ,833.0 ,880.0 ,28 ,29.16 
160.0 ,128.0 ,122.0 ,182.0 ,6.4 ,824.0 ,879.0 ,28 ,39.40 
250.0 ,180.0 ,95.0 ,159.0 ,9.5 ,860.0 ,800.0 ,28 ,67.87 
275.0 ,180.0 ,120.0 ,162.0 ,10.4 ,830.0 ,765.0 ,28 ,76.24 
165.0 ,128.5 ,132.1 ,175.1 ,8.1 ,1005.8 ,746.6 ,3 ,19.42 
178.0 ,129.8 ,118.6 ,179.9 ,3.6 ,1007.3 ,746.8 ,3 ,20.73 
167.4 ,129.9 ,128.6 ,175.5 ,7.8 ,1006.3 ,746.6 ,3 ,14.94 
172.4 ,13.6 ,172.4 ,156.8 ,4.1 ,1006.3 ,856.4 ,3 ,21.29 
173.5 ,50.1 ,173.5 ,164.8 ,6.5 ,1006.2 ,793.5 ,3 ,23.08 
167.0 ,75.4 ,167.0 ,164.0 ,7.9 ,1007.3 ,770.1 ,3 ,15.52 
173.8 ,93.4 ,159.9 ,172.3 ,9.7 ,1007.2 ,746.6 ,3 ,15.82 
165.0 ,128.5 ,132.1 ,175.1 ,8.1 ,1005.8 ,746.6 ,14 ,33.09 
178.0 ,129.8 ,118.6 ,179.9 ,3.6 ,1007.3 ,746.8 ,14 ,34.24 
167.4 ,129.9 ,128.6 ,175.5 ,7.8 ,1006.3 ,746.6 ,14 ,31.81 
172.4 ,13.6 ,172.4 ,156.8 ,4.1 ,1006.3 ,856.4 ,14 ,29.75 
173.5 ,50.1 ,173.5 ,164.8 ,6.5 ,1006.2 ,793.5 ,14 ,33.01 
167.0 ,75.4 ,167.0 ,164.0 ,7.9 ,1007.3 ,770.1 ,14 ,32.90 
173.8 ,93.4 ,159.9 ,172.3 ,9.7 ,1007.2 ,746.6 ,14 ,29.55 
165.0 ,128.5 ,132.1 ,175.1 ,8.1 ,1005.8 ,746.6 ,28 ,46.39 
178.0 ,129.8 ,118.6 ,179.9 ,3.6 ,1007.3 ,746.8 ,28 ,39.16 
167.4 ,129.9 ,128.6 ,175.5 ,7.8 ,1006.3 ,746.6 ,28 ,41.20 
172.4 ,13.6 ,172.4 ,156.8 ,4.1 ,1006.3 ,856.4 ,28 ,33.69 
173.5 ,50.1 ,173.5 ,164.8 ,6.5 ,1006.2 ,793.5 ,28 ,38.20 
167.0 ,75.4 ,167.0 ,164.0 ,7.9 ,1007.3 ,770.1 ,28 ,41.41 
173.8 ,93.4 ,159.9 ,172.3 ,9.7 ,1007.2 ,746.6 ,28 ,37.81 
165.0 ,128.5 ,132.1 ,175.1 ,8.1 ,1005.8 ,746.6 ,56 ,53.72 
178.0 ,129.8 ,118.6 ,179.9 ,3.6 ,1007.3 ,746.8 ,56 ,48.59 
167.4 ,129.9 ,128.6 ,175.5 ,7.8 ,1006.3 ,746.6 ,56 ,51.72 
172.4 ,13.6 ,172.4 ,156.8 ,4.1 ,1006.3 ,856.4 ,56 ,35.85 
173.5 ,50.1 ,173.5 ,164.8 ,6.5 ,1006.2 ,793.5 ,56 ,53.77 
167.0 ,75.4 ,167.0 ,164.0 ,7.9 ,1007.3 ,770.1 ,56 ,53.46 
173.8 ,93.4 ,159.9 ,172.3 ,9.7 ,1007.2 ,746.6 ,56 ,48.99 
165.0 ,128.5 ,132.1 ,175.1 ,8.1 ,1005.8 ,746.6 ,100 ,55.02 
178.0 ,129.8 ,118.6 ,179.9 ,3.6 ,1007.3 ,746.8 ,100 ,49.99 
167.4 ,129.9 ,128.6 ,175.5 ,7.8 ,1006.3 ,746.6 ,100 ,53.66 
172.4 ,13.6 ,172.4 ,156.8 ,4.1 ,1006.3 ,856.4 ,100 ,37.68 
173.5 ,50.1 ,173.5 ,164.8 ,6.5 ,1006.2 ,793.5 ,100 ,56.06 
167.0 ,75.4 ,167.0 ,164.0 ,7.9 ,1007.3 ,770.1 ,100 ,56.81 
173.8 ,93.4 ,159.9 ,172.3 ,9.7 ,1007.2 ,746.6 ,100 ,50.94 
446.0 ,24.0 ,79.0 ,162.0 ,11.6 ,967.0 ,712.0 ,28 ,57.03 
446.0 ,24.0 ,79.0 ,162.0 ,11.6 ,967.0 ,712.0 ,28 ,44.42 
446.0 ,24.0 ,79.0 ,162.0 ,11.6 ,967.0 ,712.0 ,28 ,51.02 
446.0 ,24.0 ,79.0 ,162.0 ,10.3 ,967.0 ,712.0 ,28 ,53.39 
446.0 ,24.0 ,79.0 ,162.0 ,11.6 ,967.0 ,712.0 ,3 ,35.36 
446.0 ,24.0 ,79.0 ,162.0 ,11.6 ,967.0 ,712.0 ,3 ,25.02 
446.0 ,24.0 ,79.0 ,162.0 ,11.6 ,967.0 ,712.0 ,3 ,23.35 
446.0 ,24.0 ,79.0 ,162.0 ,11.6 ,967.0 ,712.0 ,7 ,52.01 
446.0 ,24.0 ,79.0 ,162.0 ,11.6 ,967.0 ,712.0 ,7 ,38.02 
446.0 ,24.0 ,79.0 ,162.0 ,11.6 ,967.0 ,712.0 ,7 ,39.30 
446.0 ,24.0 ,79.0 ,162.0 ,11.6 ,967.0 ,712.0 ,56 ,61.07 
446.0 ,24.0 ,79.0 ,162.0 ,11.6 ,967.0 ,712.0 ,56 ,56.14 
446.0 ,24.0 ,79.0 ,162.0 ,11.6 ,967.0 ,712.0 ,56 ,55.25 
446.0 ,24.0 ,79.0 ,162.0 ,10.3 ,967.0 ,712.0 ,56 ,54.77 
387.0 ,20.0 ,94.0 ,157.0 ,14.3 ,938.0 ,845.0 ,28 ,50.24 
387.0 ,20.0 ,94.0 ,157.0 ,13.9 ,938.0 ,845.0 ,28 ,46.68 
387.0 ,20.0 ,94.0 ,157.0 ,11.6 ,938.0 ,845.0 ,28 ,46.68 
387.0 ,20.0 ,94.0 ,157.0 ,14.3 ,938.0 ,845.0 ,3 ,22.75 
387.0 ,20.0 ,94.0 ,157.0 ,13.9 ,938.0 ,845.0 ,3 ,25.51 
387.0 ,20.0 ,94.0 ,157.0 ,11.6 ,938.0 ,845.0 ,3 ,34.77 
387.0 ,20.0 ,94.0 ,157.0 ,14.3 ,938.0 ,845.0 ,7 ,36.84 
387.0 ,20.0 ,94.0 ,157.0 ,13.9 ,938.0 ,845.0 ,7 ,45.90 
387.0 ,20.0 ,94.0 ,157.0 ,11.6 ,938.0 ,845.0 ,7 ,41.67 
387.0 ,20.0 ,94.0 ,157.0 ,14.3 ,938.0 ,845.0 ,56 ,56.34 
387.0 ,20.0 ,94.0 ,157.0 ,13.9 ,938.0 ,845.0 ,56 ,47.97 
387.0 ,20.0 ,94.0 ,157.0 ,11.6 ,938.0 ,845.0 ,56 ,61.46 
355.0 ,19.0 ,97.0 ,145.0 ,13.1 ,967.0 ,871.0 ,28 ,44.03 
355.0 ,19.0 ,97.0 ,145.0 ,12.3 ,967.0 ,871.0 ,28 ,55.45 
491.0 ,26.0 ,123.0 ,210.0 ,3.9 ,882.0 ,699.0 ,28 ,55.55 
491.0 ,26.0 ,123.0 ,201.0 ,3.9 ,822.0 ,699.0 ,28 ,57.92 
491.0 ,26.0 ,123.0 ,210.0 ,3.9 ,882.0 ,699.0 ,3 ,25.61 
491.0 ,26.0 ,123.0 ,210.0 ,3.9 ,882.0 ,699.0 ,7 ,33.49 
491.0 ,26.0 ,123.0 ,210.0 ,3.9 ,882.0 ,699.0 ,56 ,59.59 
491.0 ,26.0 ,123.0 ,201.0 ,3.9 ,822.0 ,699.0 ,3 ,29.55 
491.0 ,26.0 ,123.0 ,201.0 ,3.9 ,822.0 ,699.0 ,7 ,37.92 
491.0 ,26.0 ,123.0 ,201.0 ,3.9 ,822.0 ,699.0 ,56 ,61.86 
424.0 ,22.0 ,132.0 ,178.0 ,8.5 ,822.0 ,750.0 ,28 ,62.05 
424.0 ,22.0 ,132.0 ,178.0 ,8.5 ,882.0 ,750.0 ,3 ,32.01 
424.0 ,22.0 ,132.0 ,168.0 ,8.9 ,822.0 ,750.0 ,28 ,72.10 
424.0 ,22.0 ,132.0 ,178.0 ,8.5 ,822.0 ,750.0 ,7 ,39.00 
424.0 ,22.0 ,132.0 ,178.0 ,8.5 ,822.0 ,750.0 ,56 ,65.70 
424.0 ,22.0 ,132.0 ,168.0 ,8.9 ,822.0 ,750.0 ,3 ,32.11 
424.0 ,22.0 ,132.0 ,168.0 ,8.9 ,822.0 ,750.0 ,7 ,40.29 
424.0 ,22.0 ,132.0 ,168.0 ,8.9 ,822.0 ,750.0 ,56 ,74.36 
202.0 ,11.0 ,141.0 ,206.0 ,1.7 ,942.0 ,801.0 ,28 ,21.97 
202.0 ,11.0 ,141.0 ,206.0 ,1.7 ,942.0 ,801.0 ,3 ,9.85 
202.0 ,11.0 ,141.0 ,206.0 ,1.7 ,942.0 ,801.0 ,7 ,15.07 
202.0 ,11.0 ,141.0 ,206.0 ,1.7 ,942.0 ,801.0 ,56 ,23.25 
284.0 ,15.0 ,141.0 ,179.0 ,5.5 ,842.0 ,801.0 ,28 ,43.73 
284.0 ,15.0 ,141.0 ,179.0 ,5.5 ,842.0 ,801.0 ,3 ,13.40 
284.0 ,15.0 ,141.0 ,179.0 ,5.5 ,842.0 ,801.0 ,7 ,24.13 
284.0 ,15.0 ,141.0 ,179.0 ,5.5 ,842.0 ,801.0 ,56 ,44.52 
359.0 ,19.0 ,141.0 ,154.0 ,10.9 ,942.0 ,801.0 ,28 ,62.94 
359.0 ,19.0 ,141.0 ,154.0 ,10.9 ,942.0 ,801.0 ,28 ,59.49 
359.0 ,19.0 ,141.0 ,154.0 ,10.9 ,942.0 ,801.0 ,3 ,25.12 
359.0 ,19.0 ,141.0 ,154.0 ,10.9 ,942.0 ,801.0 ,3 ,23.64 
359.0 ,19.0 ,141.0 ,154.0 ,10.9 ,942.0 ,801.0 ,7 ,35.75 
359.0 ,19.0 ,141.0 ,154.0 ,10.9 ,942.0 ,801.0 ,7 ,38.61 
359.0 ,19.0 ,141.0 ,154.0 ,10.9 ,942.0 ,801.0 ,56 ,68.75 
359.0 ,19.0 ,141.0 ,154.0 ,10.9 ,942.0 ,801.0 ,56 ,66.78 
273.0 ,105.0 ,82.0 ,210.0 ,9.0 ,904.0 ,680.0 ,28 ,37.17 
162.0 ,190.0 ,148.0 ,179.0 ,19.0 ,838.0 ,741.0 ,28 ,33.76 
154.0 ,144.0 ,112.0 ,220.0 ,10.0 ,923.0 ,658.0 ,28 ,16.50 
147.0 ,115.0 ,89.0 ,202.0 ,9.0 ,860.0 ,829.0 ,28 ,19.99 
152.0 ,178.0 ,139.0 ,168.0 ,18.0 ,944.0 ,695.0 ,28 ,36.35 
310.0 ,143.0 ,111.0 ,168.0 ,22.0 ,914.0 ,651.0 ,28 ,33.69 
159.0 ,149.0 ,116.0 ,175.0 ,15.0 ,953.0 ,720.0 ,28 ,27.68 
142.0 ,167.0 ,130.0 ,174.0 ,11.0 ,883.0 ,785.0 ,28 ,44.61 
298.0 ,137.0 ,107.0 ,201.0 ,6.0 ,878.0 ,655.0 ,28 ,53.52 
280.0 ,129.0 ,100.0 ,172.0 ,9.0 ,825.0 ,805.0 ,28 ,52.82 
252.0 ,97.0 ,76.0 ,194.0 ,8.0 ,835.0 ,821.0 ,28 ,33.40 
160.0 ,188.0 ,146.0 ,203.0 ,11.0 ,829.0 ,710.0 ,28 ,32.84 
287.0 ,121.0 ,94.0 ,188.0 ,9.0 ,904.0 ,696.0 ,28 ,41.94 
132.0 ,207.0 ,161.0 ,179.0 ,5.0 ,867.0 ,736.0 ,28 ,33.30 
140.0 ,164.0 ,128.0 ,237.0 ,6.0 ,869.0 ,656.0 ,28 ,35.23 
265.0 ,111.0 ,86.0 ,195.0 ,6.0 ,833.0 ,790.0 ,28 ,41.54 
276.0 ,116.0 ,90.0 ,180.0 ,9.0 ,870.0 ,768.0 ,28 ,44.28 
149.0 ,139.0 ,109.0 ,193.0 ,6.0 ,892.0 ,780.0 ,28 ,23.69 
261.0 ,100.0 ,78.0 ,201.0 ,9.0 ,864.0 ,761.0 ,28 ,32.40 
237.0 ,92.0 ,71.0 ,247.0 ,6.0 ,853.0 ,695.0 ,28 ,28.63 
153.0 ,145.0 ,113.0 ,178.0 ,8.0 ,1002.0 ,689.0 ,28 ,25.56 
140.0 ,133.0 ,103.0 ,200.0 ,7.0 ,916.0 ,753.0 ,28 ,36.44 
153.0 ,145.0 ,113.0 ,178.0 ,8.0 ,867.0 ,824.0 ,28 ,26.23 
262.0 ,111.0 ,86.0 ,195.0 ,5.0 ,895.0 ,733.0 ,28 ,33.72 
149.0 ,118.0 ,92.0 ,183.0 ,7.0 ,953.0 ,780.0 ,28 ,23.52 
143.0 ,169.0 ,143.0 ,191.0 ,8.0 ,967.0 ,643.0 ,28 ,29.72 
260.0 ,101.0 ,78.0 ,171.0 ,10.0 ,936.0 ,763.0 ,28 ,49.77 
144.0 ,170.0 ,133.0 ,192.0 ,8.0 ,814.0 ,805.0 ,28 ,29.87 
266.0 ,112.0 ,87.0 ,178.0 ,10.0 ,910.0 ,745.0 ,28 ,39.42 
314.0 ,145.0 ,113.0 ,179.0 ,8.0 ,869.0 ,690.0 ,28 ,46.23 
144.0 ,136.0 ,106.0 ,178.0 ,7.0 ,941.0 ,774.0 ,28 ,26.14 
277.0 ,117.0 ,91.0 ,191.0 ,7.0 ,946.0 ,666.0 ,28 ,43.57 
155.0 ,184.0 ,143.0 ,194.0 ,9.0 ,880.0 ,699.0 ,28 ,28.99 
136.0 ,162.0 ,126.0 ,172.0 ,10.0 ,923.0 ,764.0 ,28 ,29.07 
255.0 ,99.0 ,77.0 ,189.0 ,6.0 ,919.0 ,749.0 ,28 ,33.80 
162.0 ,207.0 ,172.0 ,216.0 ,10.0 ,822.0 ,638.0 ,28 ,39.84 
136.0 ,196.0 ,98.0 ,199.0 ,6.0 ,847.0 ,783.0 ,28 ,26.97 
164.0 ,163.0 ,128.0 ,197.0 ,8.0 ,961.0 ,641.0 ,28 ,27.23 
162.0 ,214.0 ,164.0 ,202.0 ,10.0 ,820.0 ,680.0 ,28 ,30.65 
157.0 ,214.0 ,152.0 ,200.0 ,9.0 ,819.0 ,704.0 ,28 ,33.05 
149.0 ,153.0 ,194.0 ,192.0 ,8.0 ,935.0 ,623.0 ,28 ,24.58 
135.0 ,105.0 ,193.0 ,196.0 ,6.0 ,965.0 ,643.0 ,28 ,21.91 
159.0 ,209.0 ,161.0 ,201.0 ,7.0 ,848.0 ,669.0 ,28 ,30.88 
144.0 ,15.0 ,195.0 ,176.0 ,6.0 ,1021.0 ,709.0 ,28 ,15.34 
154.0 ,174.0 ,185.0 ,228.0 ,7.0 ,845.0 ,612.0 ,28 ,24.34 
167.0 ,187.0 ,195.0 ,185.0 ,7.0 ,898.0 ,636.0 ,28 ,23.89 
184.0 ,86.0 ,190.0 ,213.0 ,6.0 ,923.0 ,623.0 ,28 ,22.93 
156.0 ,178.0 ,187.0 ,221.0 ,7.0 ,854.0 ,614.0 ,28 ,29.41 
236.9 ,91.7 ,71.5 ,246.9 ,6.0 ,852.9 ,695.4 ,28 ,28.63 
153.1 ,145.0 ,113.0 ,178.5 ,8.0 ,1001.9 ,688.7 ,28 ,25.56 
139.9 ,132.6 ,103.3 ,200.3 ,7.4 ,916.0 ,753.4 ,28 ,36.44 
153.1 ,145.0 ,113.0 ,178.5 ,8.0 ,867.2 ,824.0 ,28 ,26.23 
261.9 ,110.5 ,86.1 ,195.4 ,5.0 ,895.2 ,732.6 ,28 ,33.72 
149.0 ,117.6 ,91.7 ,182.9 ,7.1 ,953.4 ,780.3 ,28 ,23.52 
143.0 ,169.4 ,142.7 ,190.7 ,8.4 ,967.4 ,643.5 ,28 ,29.73 
259.9 ,100.6 ,78.4 ,170.6 ,10.4 ,935.7 ,762.9 ,28 ,49.77 
143.7 ,170.2 ,132.6 ,191.6 ,8.5 ,814.1 ,805.3 ,28 ,29.87 
266.2 ,112.3 ,87.5 ,177.9 ,10.4 ,909.7 ,744.5 ,28 ,39.42 
314.0 ,145.3 ,113.2 ,178.9 ,8.0 ,869.1 ,690.2 ,28 ,46.23 
143.8 ,136.3 ,106.2 ,178.1 ,7.5 ,941.5 ,774.3 ,28 ,26.15 
277.0 ,116.8 ,91.0 ,190.6 ,7.0 ,946.5 ,665.6 ,28 ,43.58 
155.2 ,183.9 ,143.2 ,193.8 ,9.2 ,879.6 ,698.5 ,28 ,28.99 
136.4 ,161.6 ,125.8 ,171.6 ,10.4 ,922.6 ,764.4 ,28 ,29.07 
255.3 ,98.8 ,77.0 ,188.6 ,6.5 ,919.0 ,749.3 ,28 ,33.80 
272.8 ,105.1 ,81.8 ,209.7 ,9.0 ,904.0 ,679.7 ,28 ,37.17 
162.0 ,190.1 ,148.1 ,178.8 ,18.8 ,838.1 ,741.4 ,28 ,33.76 
153.6 ,144.2 ,112.3 ,220.1 ,10.1 ,923.2 ,657.9 ,28 ,16.50 
146.5 ,114.6 ,89.3 ,201.9 ,8.8 ,860.0 ,829.5 ,28 ,19.99 
151.8 ,178.1 ,138.7 ,167.5 ,18.3 ,944.0 ,694.6 ,28 ,36.35 
309.9 ,142.8 ,111.2 ,167.8 ,22.1 ,913.9 ,651.2 ,28 ,38.22 
158.6 ,148.9 ,116.0 ,175.1 ,15.0 ,953.3 ,719.7 ,28 ,27.68 
141.9 ,166.6 ,129.7 ,173.5 ,10.9 ,882.6 ,785.3 ,28 ,44.61 
297.8 ,137.2 ,106.9 ,201.3 ,6.0 ,878.4 ,655.3 ,28 ,53.52 
279.8 ,128.9 ,100.4 ,172.4 ,9.5 ,825.1 ,804.9 ,28 ,52.83 
252.1 ,97.1 ,75.6 ,193.8 ,8.3 ,835.5 ,821.4 ,28 ,33.40 
160.2 ,188.0 ,146.4 ,203.2 ,11.3 ,828.7 ,709.7 ,28 ,35.31 
287.3 ,120.5 ,93.9 ,187.6 ,9.2 ,904.4 ,695.9 ,28 ,43.80 
132.0 ,206.5 ,160.9 ,178.9 ,5.5 ,866.9 ,735.6 ,28 ,33.31 
139.7 ,163.9 ,127.7 ,236.7 ,5.8 ,868.6 ,655.6 ,28 ,35.23 
264.5 ,111.0 ,86.5 ,195.5 ,5.9 ,832.6 ,790.4 ,28 ,41.54 
276.4 ,116.0 ,90.3 ,179.6 ,8.9 ,870.1 ,768.3 ,28 ,44.28 
148.5 ,139.4 ,108.6 ,192.7 ,6.1 ,892.4 ,780.0 ,28 ,23.70 
260.9 ,100.5 ,78.3 ,200.6 ,8.6 ,864.5 ,761.5 ,28 ,32.40 
